Package,Declared,Discovered
x265,NOASSERTION,GPL-1.0-or-later AND GPL-2.0-only AND NOASSERTION AND GPL-2.0-only AND GPL-2.0-only AND NOASSERTION AND GPL-2.0-or-later AND ISC AND LGPL-2.1-or-later AND MIT AND GPL-2.0-or-later AND NOASSERTION AND ISC AND LGPL-2.1-only AND LGPL-2.1-or-later AND MIT
ipset,NOASSERTION,FSFAP AND FSFAP AND FSFUL AND FSFULLR AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-or-later AND LGPL-2.0-or-later AND MIT AND NOASSERTION AND X11 AND FSFUL AND FSFUL AND FSFULLR AND NOASSERTION AND FSFUL AND NOASSERTION AND FSFULLR AND FSFULLR AND NOASSERTION AND GPL-2.0 AND GPL-2.0-only AND GPL-2.0-only AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-2.0-only AND NOASSERTION AND GPL-2.0-or-later AND GPL-3.0-or-later AND GPL-3.0-or-later AND NOASSERTION AND LGPL-2.1-only AND NOASSERTION AND NOASSERTION AND X11
debian/libilmbase25,NOASSERTION AND NOASSERTION,BSD-3-Clause AND BSL-1.0 AND NOASSERTION
code.cloudfoundry.org/clock,Apache-2.0,Apache-2.0 AND Apache-2.0 AND NOASSERTION
debian/libmaxminddb-dev,NOASSERTION,Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND BSD-4-Clause AND CC-BY-SA-3.0 AND GPL-2.0-or-later
librsvg,NOASSERTION,0BSD AND 0BSD AND Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND BSL-1.0 AND CC-BY-3.0 AND GPL-1.0-or-later AND LGPL-2.0-or-later AND MIT AND MPL-2.0 AND NOASSERTION AND Unlicense AND Zlib AND Apache-2.0 AND Apache-2.0 AND BSD-3-Clause AND CC-BY-3.0 AND MIT AND Apache-2.0 AND MIT AND Apache-2.0 AND NOASSERTION AND Apache-2.0 OR MIT AND BSD-2-Clause AND BSD-2-Clause-FreeBSD AND BSD-3-Clause AND BSL-1.0 AND CC0-1.0 AND CC0-1.0 AND MPL-2.0 AND FSFAP AND FSFAP AND FSFULLR AND FSFUL AND FSFUL AND FSFULLR AND NOASSERTION AND FSFUL AND NOASSERTION AND FSFULLR AND FSFULLR AND NOASSERTION AND GPL-3.0-or-later AND GPL-3.0-or-later AND NOASSERTION AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND MIT AND MIT AND MIT OR Apache-2.0 AND MIT OR Apache-2.0 AND MIT OR Apache-2.0 AND NOASSERTION AND MIT OR Unlicense AND MPL-2.0 AND NOASSERTION AND NOASSERTION AND X11 AND Unicode-DFS-2016 AND Unlicense AND Zlib
openexr,NOASSERTION AND BSD-3-Clause,Apache-2.0 AND BSD-3-Clause AND FSFAP
ncurses,NOASSERTION,BSD-3-Clause AND BSD-4-Clause-UC AND GPL-1.0-or-later AND NOASSERTION AND BSD-3-Clause AND BSD-4-Clause-UC AND NOASSERTION AND BSD-3-Clause AND FSFUL AND BSD-3-Clause AND MIT AND NOASSERTION AND X11 AND BSD-3-Clause AND NOASSERTION AND BSD-3-Clause AND NOASSERTION AND X11 AND FSFUL AND GPL-2.0-only AND NOASSERTION AND X11 AND HPND AND MIT AND MIT AND NOASSERTION AND NOASSERTION AND NOASSERTION AND X11
debian/libsqlite3-dev,NOASSERTION,GPL-2.0-only OR GPL-3.0-only AND GPL-2.0-or-later AND NOASSERTION AND blessing
debian/libx265-192,NOASSERTION,GPL-2.0-or-later AND ISC AND LGPL-2.1-or-later AND MIT
bzip2,NOASSERTION AND NOASSERTION,GPL-2.0-only AND bzip2-1.0.5 AND bzip2-1.0.6
libnetfilter-conntrack,NOASSERTION,FSFUL AND FSFULLR AND NOASSERTION AND FSFUL AND NOASSERTION AND FSFULLR AND FSFULLR AND NOASSERTION AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-or-later AND NOASSERTION AND NOASSERTION AND NOASSERTION AND X11
debian/libfreetype6-dev,NOASSERTION,Apache-2.0 AND BSD-3-Clause AND FSFAP AND FSFULLR AND FTL AND GPL-2.0-or-later AND GPL-2.0-or-later AND GPL-3.0-or-later AND GPL-3.0-or-later AND LGPL-2.0-or-later AND MIT AND MIT OR GPL-1.0-or-later AND MIT-open-group AND NOASSERTION AND OFL-1.1 AND X11 AND Zlib
libnftnl,NOASSERTION,FSFUL AND FSFULLR AND NOASSERTION AND FSFUL AND NOASSERTION AND FSFULLR AND FSFULLR AND NOASSERTION AND GPL-2.0-only AND GPL-2.0-only AND GPL-2.0-or-later AND LGPL-2.0-or-later AND NOASSERTION AND GPL-2.0-or-later AND GPL-3.0-or-later AND NOASSERTION AND NOASSERTION AND NOASSERTION AND X11
libmaxminddb,NOASSERTION,Apache-2.0 AND Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND BSD-4-Clause AND CC-BY-SA-3.0 AND GPL-2.0-or-later AND Apache-2.0 AND CC-BY-SA-3.0 AND Apache-2.0 AND GPL-2.0-only AND BSD-2-Clause AND BSD-3-Clause AND CC-BY-SA-3.0 AND LGPL-2.0-or-later AND LGPL-3.0 AND LGPL-3.0-only
libdatrie,NOASSERTION,FSFAP AND FSFAP AND FSFULLR AND NOASSERTION AND FSFUL AND FSFULLR AND NOASSERTION AND FSFUL AND NOASSERTION AND FSFULLR AND GPL-2.0-only AND LGPL-2.1-only AND GPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND GPL-3.0-or-later AND NOASSERTION AND LGPL-2.1-only AND LGPL-2.1-or-later AND NOASSERTION AND NOASSERTION AND X11
debian/x11proto-dev,MIT AND NOASSERTION,HPND AND HPND AND MIT-open-group AND HPND AND NOASSERTION AND MIT-open-group AND HPND-sell-variant AND HPND-sell-variant AND MIT AND HPND-sell-variant AND MIT-open-group AND ICU AND MIT AND MIT AND MIT-open-group AND MIT AND SGI-B-2.0 AND MIT-open-group AND MIT-open-group AND NOASSERTION AND NOASSERTION AND SGI-B-2.0 AND X11
